datetime,high,low,average
9/21/14 0:55,409.94,408.08,409.08
9/21/14 1:55,409.36,405.79,407.72
9/21/14 2:55,409.69,408.03,409.03
9/21/14 3:55,408.51,401.61,403.5
9/21/14 4:55,400.84,397.94,399.08
9/21/14 5:55,399.2,392.68,395.7
9/21/14 6:55,395.59,392.78,395.05
9/21/14 7:55,400.98,396.49,398.77
9/21/14 8:55,399.19,394.95,397.8
9/21/14 9:55,398.13,394.98,396.57
9/21/14 10:55,397.45,394.17,395.56
9/21/14 11:55,400.18,395.86,398.59
9/21/14 12:55,399.74,397.29,398.79
9/21/14 13:55,405.28,397.7,402.22
9/21/14 14:55,405.46,402.96,404.11
9/21/14 15:55,404.6,398.73,400.83
9/21/14 16:55,401.91,399.87,400.68
9/21/14 17:55,402.81,401.57,402.21
9/21/14 18:55,402.93,400.11,401.57
9/21/14 19:55,400.87,396.99,399.17
9/21/14 20:55,397.41,394.17,396.23
9/21/14 21:55,395.05,392.58,393.91
9/21/14 22:55,398.67,394.65,397.2
9/21/14 23:55,399.1,398,398.49
9/22/14 0:55,399.16,395.58,396.97
9/22/14 1:55,400.55,396.38,398.1
9/22/14 2:55,402.44,400.67,401.68
9/22/14 3:55,402.33,401.23,401.79
9/22/14 4:55,406.5,401.94,405.07
9/22/14 5:55,406.23,404.96,405.62
9/22/14 6:55,404.66,403.62,404.03
9/22/14 7:55,403.78,400.04,401.58
9/22/14 8:55,401.83,400.05,401.36
9/22/14 9:55,403.57,401.5,402.54
9/22/14 10:55,402.51,400.54,401.69
9/22/14 11:55,403.52,401.86,402.74
9/22/14 12:55,402.13,399.47,400.61
9/22/14 13:55,402.38,398.76,400.63
9/22/14 14:55,402.91,399.41,401.5
9/22/14 15:55,401.78,400.24,401.09
9/22/14 16:55,402.31,400.18,401.43
9/22/14 17:55,402.18,401.19,401.87
9/22/14 18:55,403.18,401.54,402.29
9/22/14 19:55,403.23,402.08,402.71
9/22/14 20:55,404.31,402.99,403.91
9/22/14 21:55,403.6,401.02,402.55
9/22/14 22:55,402.56,399.85,401.16
9/22/14 23:55,402.61,400.78,401.74
9/23/14 0:55,403.2,402.4,402.72
9/23/14 1:55,403.93,402.47,403.05
9/23/14 2:55,403.37,402.71,402.99
9/23/14 3:55,404.79,402.51,403.69
9/23/14 4:55,405.34,403.19,404.28
9/23/14 5:55,405.4,403.22,404.29
9/23/14 6:55,404.72,402.82,403.59
9/23/14 7:55,403.64,400.98,402.72
9/23/14 8:55,401.19,399.14,400.19
9/23/14 9:55,401.12,398.03,399.67
9/23/14 10:55,401.24,399.29,400.25
9/23/14 11:55,402.09,399.77,401.54
9/23/14 12:55,401.85,400.27,401.12
9/23/14 13:55,401.82,400.52,401.26
9/23/14 14:55,403.18,401.53,402.48
9/23/14 15:55,402.38,399.51,400.74
9/23/14 16:55,405.41,397.68,399.85
9/23/14 17:55,439.84,405.24,424.56
9/23/14 18:55,438.21,427.86,433.71
9/23/14 19:55,437.84,430.57,433.79
9/23/14 20:55,445.08,436.16,441.94
9/23/14 21:55,438.39,433.18,436.5
9/23/14 22:55,436.33,429.25,431.79
9/23/14 23:55,436.1,431.78,435
9/24/14 0:55,435.34,431.21,432.42
9/24/14 1:55,435.82,432.54,434.87
9/24/14 2:55,433.1,430,432.01
9/24/14 3:55,430.24,425.99,427.39
9/24/14 4:55,429.53,426.28,428.46
9/24/14 5:55,429.78,424.8,427.17
9/24/14 6:55,426.87,421.46,425.15
9/24/14 7:55,422.95,420.12,421.39
9/24/14 8:55,422.25,420.1,421.04
9/24/14 9:55,420.81,418.72,420.05
9/24/14 10:55,425.73,420.34,422.89
9/24/14 11:55,424.87,422.3,423.42
9/24/14 12:55,428.88,421.74,423.5
9/24/14 13:55,432.3,426.19,428.5
9/24/14 14:55,428.94,424.93,426.69
9/24/14 15:55,427.25,424.67,426.06
9/24/14 16:55,430.41,426.06,428.08
9/24/14 17:55,430.5,425.85,428.44
9/24/14 18:55,429.58,425.3,426.93
9/24/14 19:55,428.99,426.72,427.64
9/24/14 20:55,427.96,424.69,426.93
9/24/14 21:55,425.34,422.9,424.26
9/24/14 22:55,424.64,422.54,423.85
9/24/14 23:55,423.33,421.81,422.8
9/25/14 0:55,423.52,418.36,421.16
9/25/14 1:55,420.07,416.91,418.74
9/25/14 2:55,418.86,416.48,417.38
9/25/14 3:55,421.86,418.31,420.14
9/25/14 4:55,420.15,417.2,418.51
9/25/14 5:55,418.35,410.43,415.34
9/25/14 6:55,413.53,409.62,411.65
9/25/14 7:55,412.66,411.29,412.13
9/25/14 8:55,412.31,410.01,411.06
9/25/14 9:55,414.11,412.44,413.46
9/25/14 10:55,414.4,412.02,413.14
9/25/14 11:55,412.17,408.86,410.64
9/25/14 12:55,411.86,408.9,410.51
